,index,question,model_answer,student_answer,grade,source,ID,Duplicate_ID,student_answer_paraphrased,model_answer_paraphrased
2014,2014,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"a binary tree where the search key in any node a is greater than the search key in any node in a 'a left sub tree, but less than the search key in any node in a 'a right sub tree.",1.0,short_answer_grading.csv,0,2,"Binary trees where the search key is greater in any node than in any sub tree on the left, but less in any sub tree on the right.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
58,58,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"a set of numbers arranged by links. each node can contain two pointers to other elements. each node to the left of the parent is smaller and each node to the right is larger. recursive implementation implies that if traversed in order, the output would be sorted",0.9,mohler_dataset_edited.csv,4,2,A set of numbers arranged by link. Each node can contain two pointser to other elements. Recursive implementation implies sorting of output in order of traversing. Nodes located at the left parent are smaller and larger than those at the right.,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
4124,590,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,a binary tree with the data organized in a specific arrangement,0.5,short_answer_grading.csv,0,2,A binary tree that organizes data in a specific arrangement.,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
139,139,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"a binary tree where the search key in any node n is greater than the search key in any node in n's left subtree, but less than the search key in any node in n's right subtree.",1.0,mohler_dataset_edited.csv,4,2,"Binary trees where the search key is greater in any node than in any subtree left of the node, but less in any node right of the node.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
4046,512,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"a binary tree where the value in any node a is greater than the value in every node a 'a left sub tree, but less than every value in a 'a right sub tree.",1.0,short_answer_grading.csv,0,2,"Binary trees where the values at any node are greater than at every sub tree left, but less than at every sub tree right.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
789,789,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,it is similar to a binary tree.  the keys in a nonempty left subtree (right subtree) are smaller (larger) than the key in the root of subtree.  the values in all nodes in the left subtree of a node are less than             the node value  the values in all nodes in the right subtree of a node are greater    than the node values,1.0,mohler_dataset_edited.csv,4,2,It is like a binary tree. The keys in empty subtrees (right subtrees) are smaller than in the root of left subtrees. The values in all nodes are less than in the root of left subtrees. The values in all nodes are greater than in the root of left subtrees.,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
2099,2099,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,a binary tree is a special type of tree where each node can only have at maximum 2 children,1.0,short_answer_grading.csv,0,2,"Binary trees are of a special type, where each node can have only two children.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
2193,2193,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"a binary tree where the value in any node a is greater than the value in every node in a 'a left sub tree, but less than the value of every node in a 'a right sub tree.",1.0,short_answer_grading.csv,0,2,"Binary trees where the values at any node are greater than at every node in the left sub tree, but less than at any node in the right sub tree.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
3633,99,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"a binary search tree is a tree that also has the condition that each node may have at maximum 2 children and where the input data is compared to the data in the tree starting with the root. if the value is smaller than the root it traverses left, if it is larger it traverses right until it becomes a leaf.",0.9,mohler_dataset_edited.csv,4,2,"Binary search trees are trees with conditions that each node can have at least two children, where the input data and the tree data start from the roots. If the value traverses from the left, it is smaller, and until it becomes leaf, it is larger.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
330,330,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,a binary search tree is a binary tree where the value in any node 'n' is greater than the value in every node in n's left subtree but less than every node in n's right subtree.,1.0,mohler_dataset_edited.csv,4,2,"The binary search tree is a binary tree, where any node has a greater value than every node in the left subtree of N, but less than every node in the right subtree of N.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
1852,1852,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,it is similar to a binary tree.   the keys in a nonempty left sub tree -lrb- right sub tree -rrb- are smaller -lrb- larger -rrb- than the key in the root of sub tree. the values in all nodes in the left sub tree of a node are less than the node value the values in all nodes in the right sub tree of a node are greater than the node values,1.0,short_answer_grading.csv,0,2,"It is like a binary tree. The rgb key of the empty left and right tree is smaller and larger than the rgb key of the sub tree, and all the nodes in the node are less than the node itself.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
1647,1647,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"a tree which is split based on values. this makes it very easy to search. one can compare the desired value to the root, and if the root is greater than, we search the left side of the tree, if it is less than, we search the right side... and do the same thing recursively.",1.0,mohler_dataset_edited.csv,4,2,"A tree split on values. This makes it very easy to search for the desired values. If there is a greater root, we will search the left side of the tree, if there is less root, we will search the right side, and we will do the same thing again and again.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
2394,2394,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"binary search trees are a fundamental data structure used to construct more abstract data structures such as sets, multi sets, and associative arrays.",0.5,short_answer_grading.csv,0,2,A binary search tree is a fundamental data structure used to construct more abstract data structures such as multiple set sets and associated arrays.,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
3852,318,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,a special binary tree that has a rule that all the subtrees on the right are smaller than the node value and all the subtrees on the left are larger than the node value,0.8,mohler_dataset_edited.csv,4,2,A special binary tree with a rule that the right subtree is smaller than the node value and the left is larger.,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
1685,1685,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"a binary tree where the children are ordered such that the right side is greater than the current node, and the left is less than or equal the current node.",1.0,mohler_dataset_edited.csv,4,2,A binary tree where the children are ordered in greater right-hand order than the current node and left-hand-wise less or equal.,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
1690,1690,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"a binary tree with a special organization of data. where the left child of the element is less than it, and the right child is larger than it.",1.0,mohler_dataset_edited.csv,4,2,"A binary tree, a special data organization, is when the left is less than the left child in an element, and the right is larger.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
986,986,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"a binary search tree is a special tree in which each node has at most two children, labeled left child and right child",0.5,mohler_dataset_edited.csv,4,2,Binary search trees are special trees where each node has at least two children labeled left and right.,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
1146,1146,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,a tree where each node has at most two nodes and the node on the left is less than the root and the node on the right is greater than the root.,0.9,mohler_dataset_edited.csv,4,2,"Trees where each node has at least two, the left node has less root and the right node more.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
3755,221,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"a binary tree where the value in any node n is greater than the value in every node n's left subtree, but less than every value in n's right subtree.",1.0,mohler_dataset_edited.csv,4,2,"In a binary tree, any node's value is greater than the left leaf of every node, but less than the right leaf of every node.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
470,470,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,a binary tree in which the data is in order from left to right.,0.8,mohler_dataset_edited.csv,4,2,a binary tree where the data is ordered from left to right.,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
739,739,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,a tree in which the smaller values are located on the left of a parent node and the larger values are located on the right of the parent node.,1.0,mohler_dataset_edited.csv,4,2,Trees where smaller values are left to the left of the parent nodes and larger values are right.,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
589,589,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,a binary tree with the data organized in a specific arangment,0.5,mohler_dataset_edited.csv,4,2,A binary tree that organizes data into specific archangments.,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
610,610,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,a tree that is set up so that it can be easily searched for numbers based on the location compared to the previous nodes.,0.7,mohler_dataset_edited.csv,4,2,a tree set up so it can easily be searched by location-based number compared to previous nodes.,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
1028,1028,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"binary search trees are similar to binary trees, but have been implemented to organize data in a specific way for later searching.",0.7,mohler_dataset_edited.csv,4,2,"Similar to a binary tree, the search tree is implemented to organize data in a specific way for later searches.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
3158,3158,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,a binary search tree is a finite set of nodes that is either empty or consists of a root and two disjoint binary trees call the left and right sub trees.,0.5,short_answer_grading.csv,0,2,"The binary search tree is a finite set of nodes, or a root, or a subset of left and right binary trees (non-joint).",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
1559,1559,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"binary search trees are a fundamental data structure used to construct more abstract data structures such as sets, multisets, and associative arrays.",0.5,mohler_dataset_edited.csv,4,2,"A binary search tree is a fundamental data structure used to construct more abstract data structures such as sets, multisets and associated arrays.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
1193,1193,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"a binary tree where the value in any node n is greater than the value in every node in n's left subtree, but less than the value of every node in n's right subtree.",1.0,mohler_dataset_edited.csv,4,2,"In binary trees, the values at any node in the n variable are greater than at every node in the left subtree, but less than at any node in the right subtree.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
3367,3367,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"a tree which is split based on values.   this makes it very easy to search.   one can compare the desired value to the root, and if the root is greater than, we search the left side of the tree, if it is less than, we search the right side ... and do the same thing recursively.",1.0,short_answer_grading.csv,0,2,"A tree split based on values. This makes it very easy to search. With greater rooting, we can compare the desired values to the root, with less rooting we can search the left side of the tree, with less rooting we can search the right side, and repeat the same thing.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
745,745,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"a binary search tree is a special binary tree arranged such that every left child node contains a value less than its parent, and every right child node contains a value greater its parent.",1.0,mohler_dataset_edited.csv,4,2,A special binary tree for binary search is arranged so that every node left contains less than every node right of child and more than every node left of child.,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
185,185,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"a tree data structure where each node has a value, where the total order is defined on these values.  the left subtree contains only values less than the parent node, and vice versa for the right subtree.",1.0,mohler_dataset_edited.csv,4,2,"A tree data structure where each node has a value and where total order is defined. The left subtree contains only a fraction of the value of the parent node, while the right subtree contains the value of the parent node.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
2454,2454,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,a binary tree is a special type of inverted tree in which each element has only two branches below it.,0.9,short_answer_grading.csv,0,2,The inverted tree (only two branches below each element) is a special type of binary tree.,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
1109,1109,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,a binary search tree is a finite set of nodes that is either empty or consits of a root and two disjoint binary trees call the left and right subtrees.,0.5,mohler_dataset_edited.csv,4,2,"The binary search tree is an empty finite set of nodes and consists of roots, and the two non-joint binary trees call themselves left and right subtrees.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
854,854,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"it is a binary tree where each node has a unique key, the left child of a node has only values less than that node, and the right child of each node has higher values than that node.",1.0,mohler_dataset_edited.csv,4,2,"It is a binary tree where each node has a unique key, the left child of each node has only a lower value than that of that node, and the right child of each node has a higher value.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
4357,823,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"it is a binary tree where each node has a value, a total order is defined on these values, the left sub tree of a node contains only values less than the node 'a value, and the right sub tree of a node contains only values greater than or equal to the node 'a value.",1.0,short_answer_grading.csv,0,2,"It is a binary tree where each node's values are defined in total order. The left tree of a node contains only a fraction of its values, the right tree of a node contains only as much or as little as its values.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
4411,877,what is a binary search tree?,a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"a binary search tree is a tree that also has the condition that each node may have at maximum 2 children and where the input data is compared to the data in the tree starting with the root.   if the value is smaller than the root it traverses left, if it is larger it traverses right until it becomes a leaf.",0.9,short_answer_grading.csv,0,2,"Binary search trees are trees where the input data and the tree data start from the roots, where each node can have at least two children, where the values traverse from the left, and from the right until they become leaves, the values traverse from the left.",a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
187,187,what is a linked list?,a collection of elements that can be allocated dynamically.,a list of items linked together.  each item is linked to its successor.,0.9,mohler_dataset_edited.csv,4,3,Link lists of items together * Link to each item's success.,a collection of elements that can be allocated dynamically.
200,200,what is a linked list?,a collection of elements that can be allocated dynamically.,a list of nodes where each node contains a data member and also a pointer to the next node.,0.9,mohler_dataset_edited.csv,4,3,A list of nodes where each node contains a data member and also points to the next node.,a collection of elements that can be allocated dynamically.
3307,3307,what is a linked list?,a collection of elements that can be allocated dynamically.,a data type that contains a pointer to at least the next element in a list.,0.9,short_answer_grading.csv,0,3,Data type that contains a pointer to at least the next element of the list.,a collection of elements that can be allocated dynamically.
2599,2599,what is a linked list?,a collection of elements that can be allocated dynamically.,a link list is a data structure which is built from structures and pointers.   it forms a chain of nodes with pointers representing the links of the chain and holding the entire thing together,0.8,short_answer_grading.csv,0,3,The link list is a data structure built on top of it and points to it. It forms a chain of nodes and points to represent the link in which the entire thing is held together.,a collection of elements that can be allocated dynamically.
813,813,what is a linked list?,a collection of elements that can be allocated dynamically.,a series of structures containing data items and a pointer that links the structure to the next structure.,0.9,mohler_dataset_edited.csv,4,3,A structure of series of structures containing data items and points to be linked to the next structure.,a collection of elements that can be allocated dynamically.
928,928,what is a linked list?,a collection of elements that can be allocated dynamically.,each component contains a node - a data item and a pointer to the next item in the list,0.9,mohler_dataset_edited.csv,4,3,"Each component contains a node, a data item and a pointer to the next item on the list.",a collection of elements that can be allocated dynamically.
1107,1107,what is a linked list?,a collection of elements that can be allocated dynamically.,"an array based list that uses an implicit ordering scheme, often using pointers.",0.5,mohler_dataset_edited.csv,4,3,An array-based list that uses an implicit order scheme and often uses a pointer.,a collection of elements that can be allocated dynamically.
